Name,Host
Analytics_zinnia_prod,zl-data-api.zinnia.com
EAPPS_zinnia_prod,SBTOPETPAPP01P
Quotes_zinnia_dev,quote-aggregator.staging.policygenius.cloud
Quotes_zinnia_prod,quote-aggregator.policygenius.com
aurum-gwsvcs_zinnia_prod,api-int.zinnia.com
background_check_zinnia_prod,background-check-kdefhm77na-uc.a.run.app
background_check_zinnia_uat,background-check-73x2of4glq-uc.a.run.app
call_center_ai_solutions_zinnia_prod,call-center-ai-solutions.loyalty.life
casemanager-gwsvcs_zinnia_prod,bpm.se2.com
cerebrum-transaction-store_zinnia_prod,bpm.se2.com
ciam-audit_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
ciam-fga_zinnia_prod,internal-fga-1975113399.us-east-1.elb.amazonaws.com
consumer-experience-terms-and-conditions_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
customersurvey-outgwsvcs_zinnia_prod,api.delighted.com
dlic-gwsvcs_zinnia_prod,sfsvcs-int.se2.com
dlic-outgwsvcs_zinnia_prod,api.delawarelife.com
documents-gwsvcs_zinnia_prod,internal-documentsprivate-alb-90343888.us-east-1.elb.amazonaws.com
enterprise-communication_zinnia_prod,internal-spectrum-alb-prod-308559383.us-east-1.elb.amazonaws.com
enterprise-document_zinnia_prod,eds.zinnia.com
evidencevendor-outgwsvcs_lexisnexis_zinnia_prod,decisioning.lexisnexisrisk.com
evidencevendor-outgwsvcs_mib_zinnia_prod,prodsvc.mib.com
evidencevendor-outgwsvcs_milliman_zinnia_prod,api1.millimanIntelliScript.com
five9-gwsvcs_zinnia_prod,esbsvcs.se2.com
fund-information-service_zinnia_prod,fund-information-service.zinnia.io
ga-gwsvcs_zinnia_prod,sfsvcs-int.se2.com
glco-gwsvcs_zinnia_prod,data.spectrum.se2.com
illustration-api_zinnia_prod,illustration-service.zinnia.io
kuvare-gwsvcs_zinnia_prod,esbsvcs.se2.com
mcs_api_zinnia_prod,mcs-integration.se2.com
mm-outgwsvcs_zinnia_prod,apis-r.massmutual.com
nasu-gwsvcs_zinnia_prod,nasusvcs-int.se2.com
new-business_zinnia_prod,bpm.se2.com
orion-api_zinnia_prod,orionapi.zinnia.io
otp-chat-bot_zinnia_prod,bpm.se2.com
otp-external-bpm_zinnia_prod,bpm.se2.com
otp-external-gwsvcs_zinnia_prod,bpm.se2.com
otp-nonfinacial-gwsvcs_zinnia_prod,bpm.se2.com
pacl-gwsvcs_zinnia_prod,paclsvcs-int.se2.com
pacl-outgwsvcs_zinnia_prod,api-int.zinnia.com
party-reference_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
plum-gwsvcs_zinnia_prod,esbsvcs.se2.com
policies-gwsvcs_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
policy-ref_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
preference-management_zinnia_dev,internal-fga-573592720.us-east-1.elb.amazonaws.com
preference-management_zinnia_prod,internal-service-lb-1588822444.us-east-1.elb.amazonaws.com
processmanager-gwsvcs_zinnia_prod,bpm.se2.com
producer_zinnia_prod,swizzle-api-kdefhm77na-uc.a.run.app
product-rate_zinnia_prod,product-rate-service.zinnia.io
rmd-calculation_zinnia,uat.rmd-calculation-service.zinnia.io
rmd-calculation_zinnia_prod,rmd-calculation-service.zinnia.io
sb-gwsvcs_zinnia_prod,api-int.zinnia.com
sb-outgwsvcs_zinnia_prod,api-int.zinnia.com
ulpc-gwsvcs_zinnia_prod,api-int.zinnia.com
uspsaddressvalidation-gwsvcs_zinnia_prod,esbsvcs-int.se2.com
uw-api_zinnia_prod,se2u-data.se2.com
vidadoocr-outgwsvcs_zinnia_prod,shreddr.captricity.com
virtual_agent_zinnia_prod,orchestrator.zinnia.com
webhook-gwsvcs_zinnia_prod,webhook-int.se2.com
zinnia-outbound_zinnia_prod,outgoing.apiservices.zinnia.com
zinnia_swizzle_api_zinnia_prod,swizzle-api-kdefhm77na-uc.a.run.app
